"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"1",124517,"William Van Dijck","Male",23,185,65,"Belgium","BEL","1984 Summer",1984,"Summer","Los Angeles","Athletics","Athletics Men's 3,000 metres Steeplechase","None"
"2",124517,"William Van Dijck","Male",27,185,65,"Belgium","BEL","1988 Summer",1988,"Summer","Seoul","Athletics","Athletics Men's 3,000 metres Steeplechase","None"
"3",124517,"William Van Dijck","Male",31,185,65,"Belgium","BEL","1992 Summer",1992,"Summer","Barcelona","Athletics","Athletics Men's 3,000 metres Steeplechase","None"
"4",124518,"Daniel ""Daan"" van Dijk","Male",21,175,70,"Netherlands","NED","1928 Summer",1928,"Summer","Amsterdam","Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Gold"
"5",124519,"Everdina ""Edith"" van Dijk","Female",35,176,66,"Netherlands","NED","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Women's 10 kilometres Open Water","None"
"6",124520,"Eleonora Maria ""Ellen"" van Dijk","Female",25,182,71,"Netherlands","NED","2012 Summer",2012,"Summer","London","Cycling","Cycling Women's Road Race, Individual","None"
"7",124520,"Eleonora Maria ""Ellen"" van Dijk","Female",25,182,71,"Netherlands","NED","2012 Summer",2012,"Summer","London","Cycling","Cycling Women's Individual Time Trial","None"
"8",124520,"Eleonora Maria ""Ellen"" van Dijk","Female",25,182,71,"Netherlands","NED","2012 Summer",2012,"Summer","London","Cycling","Cycling Women's Team Pursuit","None"
"9",124520,"Eleonora Maria ""Ellen"" van Dijk","Female",29,182,71,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Cycling","Cycling Women's Road Race, Individual","None"
"10",124520,"Eleonora Maria ""Ellen"" van Dijk","Female",29,182,71,"Netherlands","NED","2016 Summer",2016,"Summer","Rio de Janeiro","Cycling","Cycling Women's Individual Time Trial","None"
"11",124521,"Hilbert Van Dijk","Male",38,175,70,"Australia","AUS","1956 Summer",1956,"Summer","Melbourne","Fencing","Fencing Men's epee, Team","None"
"12",124522,"Jacob ""Jappie"" van Dijk","Male",27,175,66,"Netherlands","NED","1972 Winter",1972,"Winter","Sapporo","Speed Skating","Speed Skating Men's 500 metres","None"
"13",124523,"Jeroen Michiel Laurens van Dijk","Male",24,193,85,"Netherlands","NED","1996 Summer",1996,"Summer","Atlanta","Badminton","Badminton Men's Singles","None"
"14",124524,"Joeri van Dijk (-Passchier)","Male",21,183,70,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Sailing","Sailing Men's Windsurfer","None"
"15",124525,"Johannes Wilhelmus Maria van Dijk","Male",31,175,70,"Minerva Amsterdam","NED","1900 Summer",1900,"Summer","Paris","Rowing","Rowing Men's Coxed Eights","Bronze"
"16",124526,"Kay van Dijk","Male",20,213,104,"Netherlands","NED","2004 Summer",2004,"Summer","Athina","Volleyball","Volleyball Men's Volleyball","None"
"17",124527,"Cornelis ""Nelis"" van Dijk","Male",16,175,70,"Netherlands","NED","1920 Summer",1920,"Summer","Antwerpen","Boxing","Boxing Men's Flyweight","None"
"18",124528,"Adriana Francisca Johanna Maria ""Sjan"" van Dijk (-Huybrehts)","Female",28,170,64,"Netherlands","NED","1992 Summer",1992,"Summer","Barcelona","Archery","Archery Women's Individual","None"
